Xi,Yi,Zi,Xj,Yj,Zj,Item,Lij,Uij,Cij
16,1,a,16,1,b,PODIUMS,1,1,0
17,1,a,17,1,b,8 X 18 TABLES,28,28,0
2,1,a,2,1,b,6 X 30 TABLES,1,1,0
23,1,a,23,1,b,8 X 30 TABLES,2,2,0
1,1,a,1,1,b,PODIUMS,1,1,0
20,1,a,20,1,b,8 X 30 TABLES,2,2,0
22,1,a,22,1,b,8 X 30 TABLES,1,1,0
9,1,a,9,1,b,30 STAND-UP ROUNDS,8,8,0
17,1,a,17,1,b,8 X 30 TABLES,2,2,0
22,1,a,22,1,b,MEETING ROOM CHAIRS,282,282,0
12,1,a,12,1,b,6 X 30 TABLES,4,4,0
10,1,a,10,1,b,16RISERS 6 X 8,3,3,0
12,1,a,12,1,b,MEETING ROOM CHAIRS,20,20,0
16,1,a,16,1,b,8 X 30 TABLES,7,7,0
8,1,a,8,1,b,SETS OF STAGE STEPS,1,1,0
17,1,a,17,1,b,30 STAND-UP ROUNDS,1,1,0
23,1,a,23,1,b,6 X 30 TABLES,10,10,0
24,1,a,24,1,b,PODIUMS,1,1,0
23,1,a,23,1,b,PODIUMS,1,1,0
17,1,a,17,1,b,PODIUMS,1,1,0
10,1,a,10,1,b,8 X 30 TABLES,2,2,0
13,1,a,13,1,b,8 X 30 TABLES,1,1,0
1,1,a,1,1,b,MEETING ROOM CHAIRS,225,225,0
6,1,a,6,1,b,6 X 30 TABLES,2,2,0
3,1,a,3,1,b,MEETING ROOM CHAIRS,8,8,0
9,1,a,9,1,b,PODIUMS,1,1,0
8,1,a,8,1,b,8 X 30 TABLES,3,3,0
11,1,a,11,1,b,66 ROUND TABLES,3,3,0
20,1,a,20,1,b,16RISERS 6 X 8,2,2,0
24,1,a,24,1,b,6 X 30 TABLES,2,2,0
7,1,a,7,1,b,6 X 30 TABLES,2,2,0
26,1,a,26,1,b,8 X 30 TABLES,1,1,0
18,1,a,18,1,b,66 ROUND TABLES,70,70,0
14,1,a,14,1,b,PODIUMS,1,1,0
8,1,a,8,1,b,24RISERS 6 X 8,4,4,0
23,1,a,23,1,b,MEETING ROOM CHAIRS,59,59,0
21,1,a,21,1,b,PODIUMS,1,1,0
10,1,a,10,1,b,MEETING ROOM CHAIRS,237,237,0
13,1,a,13,1,b,16RISERS 6 X 8,3,3,0
18,1,a,18,1,b,MEETING ROOM CHAIRS,300,300,0
19,1,a,19,1,b,MEETING ROOM CHAIRS,170,170,0
8,1,a,8,1,b,PODIUMS,1,1,0
11,1,a,11,1,b,6 X 30 TABLES,8,8,0
19,1,a,19,1,b,8 X 30 TABLES,2,2,0
13,1,a,13,1,b,PODIUMS,1,1,0
21,1,a,21,1,b,8 X 30 TABLES,1,1,0
24,1,a,24,1,b,MEETING ROOM CHAIRS,308,308,0
7,1,a,7,1,b,8 X 30 TABLES,1,1,0
3,1,a,3,1,b,6 X 30 TABLES,2,2,0
1,1,a,1,1,b,6 X 18 TABLES,1,1,0
21,1,a,21,1,b,MEETING ROOM CHAIRS,158,158,0
14,1,a,14,1,b,SETS OF STAGE STEPS,2,2,0
6,1,a,6,1,b,8 X 30 TABLES,1,1,0
14,1,a,14,1,b,16RISERS 6 X 8,2,2,0
21,1,a,21,1,b,SETS OF STAGE STEPS,1,1,0
7,1,a,7,1,b,PODIUMS,1,1,0
9,1,a,9,1,b,30 COCKTAIL ROUNDS,8,8,0
20,1,a,20,1,b,PODIUMS,1,1,0
17,1,a,17,1,b,6 X 18 TABLES,20,20,0
26,1,a,26,1,b,MEETING ROOM CHAIRS,295,295,0
1,1,a,1,1,b,6 X 30 TABLES,2,2,0
26,1,a,26,1,b,SETS OF STAGE STEPS,2,2,0
9,1,a,9,1,b,6 X 18 TABLES,13,13,0
16,1,a,16,1,b,6 X 30 TABLES,6,6,0
10,1,a,10,1,b,PODIUMS,1,1,0
8,1,a,8,1,b,MEETING ROOM CHAIRS,216,216,0
14,1,a,14,1,b,66 ROUND TABLES,24,24,0
14,1,a,14,1,b,8 X 30 TABLES,2,2,0
