Xi,Yi,Zi,Xj,Yj,Zj,Item,Lij,Uij,Cij
32,0,b,5,1,a,30 STAND-UP ROUNDS,0,100000000,6.023947221
11,0,b,22,1,a,6 X 18 TABLES,0,100000000,0.418137864
24,0,b,3,1,a,30 COCKTAIL ROUNDS,0,100000000,8.611424339
36,0,b,30,1,a,24RISERS 6 X 8,0,100000000,3.933950421
33,0,b,1,1,a,PODIUMS,0,100000000,8.653856246
13,0,b,4,1,a,PODIUMS,0,100000000,5.152379016
19,0,b,35,1,a,24RISERS 6 X 8,0,100000000,8.546388837
20,0,b,1,1,a,24RISERS 6 X 8,0,100000000,0.410301964
26,0,b,8,1,a,66 ROUND TABLES,0,100000000,8.156691315
19,0,b,3,1,a,6 X 18 TABLES,0,100000000,9.604182977
16,0,b,17,1,a,PODIUMS,0,100000000,1.856649807
27,0,b,36,1,a,8 X 18 TABLES,0,100000000,2.711914805
4,0,b,7,1,a,6 X 30 TABLES,0,100000000,7.492329152
6,0,b,20,1,a,SETS OF STAGE STEPS,0,100000000,0.540658742
33,0,b,4,1,a,16RISERS 6 X 8,0,100000000,8.606856826
24,0,b,17,1,a,PODIUMS,0,100000000,0.272618191
35,0,b,36,1,a,8 X 18 TABLES,0,100000000,6.574171371
9,0,b,21,1,a,6 X 30 TABLES,0,100000000,5.284276918
28,0,b,7,1,a,66 ROUND TABLES,0,100000000,5.137770279
7,0,b,32,1,a,30 COCKTAIL ROUNDS,0,100000000,2.891197982
10,0,b,33,1,a,8 X 18 TABLES,0,100000000,0.412066165
31,0,b,23,1,a,6 X 18 TABLES,0,100000000,7.469128591
34,0,b,10,1,a,8 X 30 TABLES,0,100000000,8.632618892
5,0,b,16,1,a,30 COCKTAIL ROUNDS,0,100000000,2.71984099
8,0,b,17,1,a,6 X 18 TABLES,0,100000000,6.673413835
1,0,b,14,1,a,8 X 30 TABLES,0,100000000,0.90381682
18,0,b,6,1,a,66 ROUND TABLES,0,100000000,5.258104872
25,0,b,33,1,a,6 X 18 TABLES,0,100000000,8.644402042
15,0,b,5,1,a,24RISERS 6 X 8,0,100000000,5.6795306
1,0,b,12,1,a,16RISERS 6 X 8,0,100000000,3.619996737
32,0,b,33,1,a,16RISERS 6 X 8,0,100000000,9.839120987
18,0,b,21,1,a,66 ROUND TABLES,0,100000000,6.238697103
5,0,b,3,1,a,PODIUMS,0,100000000,3.90209925
22,0,b,27,1,a,6 X 30 TABLES,0,100000000,6.457563409
2,0,b,31,1,a,30 STAND-UP ROUNDS,0,100000000,0.91110698
35,0,b,3,1,a,SETS OF STAGE STEPS,0,100000000,3.83177662
6,0,b,11,1,a,SETS OF STAGE STEPS,0,100000000,2.630693332
5,0,b,9,1,a,30 STAND-UP ROUNDS,0,100000000,7.154132679
2,0,b,29,1,a,MEETING ROOM CHAIRS,0,100000000,1.958559192
30,0,b,16,1,a,30 STAND-UP ROUNDS,0,100000000,3.964080635
9,0,b,14,1,a,6 X 18 TABLES,0,100000000,7.793508644
8,0,b,11,1,a,24RISERS 6 X 8,0,100000000,5.736935364
15,0,b,17,1,a,30 STAND-UP ROUNDS,0,100000000,5.204988245
6,0,b,15,1,a,MEETING ROOM CHAIRS,0,100000000,8.934234288
35,0,b,33,1,a,8 X 30 TABLES,0,100000000,9.807299547
10,0,b,6,1,a,30 COCKTAIL ROUNDS,0,100000000,4.3375567
35,0,b,9,1,a,8 X 30 TABLES,0,100000000,4.415939856
36,0,b,17,1,a,SETS OF STAGE STEPS,0,100000000,9.077421779
20,0,b,27,1,a,66 ROUND TABLES,0,100000000,8.543406848
31,0,b,16,1,a,66 ROUND TABLES,0,100000000,5.283206706
26,0,b,14,1,a,66 ROUND TABLES,0,100000000,0.631595849
21,0,b,11,1,a,16RISERS 6 X 8,0,100000000,2.932700628
33,0,b,31,1,a,16RISERS 6 X 8,0,100000000,3.623864238
36,0,b,30,1,a,8 X 30 TABLES,0,100000000,3.933950421
26,0,b,31,1,a,30 COCKTAIL ROUNDS,0,100000000,6.633844587
28,0,b,14,1,a,30 STAND-UP ROUNDS,0,100000000,8.870010613
5,0,b,15,1,a,8 X 18 TABLES,0,100000000,2.48694391
2,0,b,15,1,a,66 ROUND TABLES,0,100000000,1.456917993
1,0,b,16,1,a,SETS OF STAGE STEPS,0,100000000,3.819071218
16,0,b,36,1,a,PODIUMS,0,100000000,1.898050717
11,0,b,17,1,a,MEETING ROOM CHAIRS,0,100000000,4.153682995
12,0,b,6,1,a,MEETING ROOM CHAIRS,0,100000000,8.281681006
23,0,b,4,1,a,8 X 30 TABLES,0,100000000,3.944892423
8,0,b,28,1,a,24RISERS 6 X 8,0,100000000,3.62270084
35,0,b,13,1,a,SETS OF STAGE STEPS,0,100000000,9.163265239
24,0,b,34,1,a,6 X 30 TABLES,0,100000000,1.974430193
24,0,b,28,1,a,8 X 30 TABLES,0,100000000,4.048065313
15,0,b,34,1,a,PODIUMS,0,100000000,0.700732173
3,0,b,30,1,a,SETS OF STAGE STEPS,0,100000000,4.414508769
10,0,b,10,1,a,24RISERS 6 X 8,0,100000000,9.607406127
29,0,b,35,1,a,30 STAND-UP ROUNDS,0,100000000,4.909829036
1,0,b,29,1,a,66 ROUND TABLES,0,100000000,3.864340847
1,0,b,7,1,a,6 X 18 TABLES,0,100000000,3.588975753
12,0,b,15,1,a,6 X 30 TABLES,0,100000000,6.774423818
20,0,b,20,1,a,6 X 18 TABLES,0,100000000,7.392837599
12,0,b,30,1,a,MEETING ROOM CHAIRS,0,100000000,4.920654485
12,0,b,29,1,a,66 ROUND TABLES,0,100000000,4.881528146
25,0,b,26,1,a,SETS OF STAGE STEPS,0,100000000,2.124936735
14,0,b,22,1,a,PODIUMS,0,100000000,7.753431723
9,0,b,14,1,a,SETS OF STAGE STEPS,0,100000000,7.793508644
23,0,b,5,1,a,30 STAND-UP ROUNDS,0,100000000,7.967783629
6,0,b,15,1,a,30 STAND-UP ROUNDS,0,100000000,8.934234288
16,0,b,11,1,a,30 STAND-UP ROUNDS,0,100000000,1.638348105
28,0,b,28,1,a,PODIUMS,0,100000000,9.747493816
20,0,b,33,1,a,30 STAND-UP ROUNDS,0,100000000,5.762844886
23,0,b,6,1,a,6 X 18 TABLES,0,100000000,3.430560077
9,0,b,3,1,a,MEETING ROOM CHAIRS,0,100000000,6.912530766
6,0,b,28,1,a,16RISERS 6 X 8,0,100000000,7.765747866
24,0,b,8,1,a,PODIUMS,0,100000000,1.096063557
7,0,b,10,1,a,6 X 30 TABLES,0,100000000,0.006740957
6,0,b,6,1,a,16RISERS 6 X 8,0,100000000,8.997856423
30,0,b,27,1,a,PODIUMS,0,100000000,7.996840787
2,0,b,32,1,a,SETS OF STAGE STEPS,0,100000000,0.745449323
4,0,b,19,1,a,24RISERS 6 X 8,0,100000000,1.181862054
22,0,b,35,1,a,24RISERS 6 X 8,0,100000000,9.453776074
26,0,b,11,1,a,SETS OF STAGE STEPS,0,100000000,4.458758077
3,0,b,19,1,a,8 X 30 TABLES,0,100000000,8.780417775
9,0,b,28,1,a,24RISERS 6 X 8,0,100000000,6.634816872
29,0,b,15,1,a,SETS OF STAGE STEPS,0,100000000,9.443168825
29,0,b,28,1,a,MEETING ROOM CHAIRS,0,100000000,0.039112665
7,0,b,27,1,a,8 X 18 TABLES,0,100000000,6.27616608
29,0,b,20,1,a,16RISERS 6 X 8,0,100000000,8.438919041
36,0,b,1,1,a,24RISERS 6 X 8,0,100000000,9.025082035
23,0,b,7,1,a,SETS OF STAGE STEPS,0,100000000,3.541185772
16,0,b,31,1,a,8 X 18 TABLES,0,100000000,8.283558298
29,0,b,16,1,a,6 X 30 TABLES,0,100000000,0.825959164
